timestamp,error,message,requestTime,stopId,stopName,recordedAtTime,expectedArrivalTime,expectedArrivalSeconds
1580209201,,,2020-01-28T06:00:04.843-05:00,901334,DIVISION AV/WYTHE AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:04.907-05:00,305191,WYTHE AV/CLYMER ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:04.959-05:00,901335,CLYMER ST/KENT AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.012-05:00,901336,MARKET ST/5 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.052-05:00,308692,SANDS ST/NAVY ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.117-05:00,307039,GOLD ST/SANDS ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.165-05:00,901338,YORK ST/JAY ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.213-05:00,306337,SANDS ST/PEARL ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.266-05:00,307106,JAY ST/HIGH ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.313-05:00,306264,JAY ST/CHAPEL ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.414-05:00,307426,JAY ST/TILLARY ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.489-05:00,305211,JAY ST/FULTON ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.564-05:00,303290,LIVINGSTON ST/SMITH ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.698-05:00,306901,LIVINGSTON ST/HOYT ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.832-05:00,303294,LIVINGSTON ST/NEVINS ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.905-05:00,303524,FLATBUSH AV/STATE ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:05.954-05:00,303296,FLATBUSH AV/5 AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.037-05:00,303297,FLATBUSH AV/BERGEN ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.128-05:00,307360,FLATBUSH AV/ST MARKS AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.185-05:00,305670,7 AV/FLATBUSH AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.243-05:00,305671,7 AV/STERLING PL,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.291-05:00,305672,7 AV/BERKELEY PL,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.339-05:00,305673,7 AV/UNION ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.398-05:00,305674,7 AV/GARFIELD PL,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.463-05:00,305675,7 AV/3 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.516-05:00,305676,7 AV/6 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.576-05:00,305677,7 AV/9 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.632-05:00,305678,7 AV/11 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.685-05:00,305679,7 AV/13 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.733-05:00,305680,7 AV/15 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.788-05:00,305681,7 AV/PROSPECT AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.834-05:00,305682,7 AV/18 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.918-05:00,307521,19 ST/8 AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:06.973-05:00,306573,19 ST/PROSPECT PK W,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:07.029-05:00,306574,10 AV/20 ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:07.074-05:00,306558,MC DONALD AV/TERRACE PL,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:07.131-05:00,306559,MC DONALD AV/VANDERBILT ST,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:07.193-05:00,306560,MC DONALD AV/GREENWOOD AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:07.251-05:00,306561,MC DONALD AV/FT HAMILTON PY,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:07.319-05:00,306562,MC DONALD AV/CATON AV,2020-01-28T06:00:07-05:00,,
1580209201,,,2020-01-28T06:00:07.401-05:00,306563,MC DONALD AV/ALBEMARLE RD,2020-01-28T06:00:10-05:00,2020-01-28T06:00:30.552-05:00,-20
1580209201,,,2020-01-28T06:00:07.462-05:00,306564,MC DONALD AV/CHURCH AV,2020-01-28T06:00:10-05:00,2020-01-28T06:01:05.261-05:00,-55
1580209201,,,2020-01-28T06:00:07.533-05:00,306565,MC DONALD AV/AV C,2020-01-28T06:00:10-05:00,2020-01-28T06:01:47.540-05:00,-97
1580209201,,,2020-01-28T06:00:07.597-05:00,801044,MC DONALD AV/CORTELYOU RD,2020-01-28T06:00:10-05:00,2020-01-28T06:02:23.140-05:00,-133
1580209261,true,no MonitoredStopVisit,,,,,,
1580209261,,,2020-01-28T06:01:02.030-05:00,306549,MC DONALD AV/AV C,2020-01-28T06:00:58-05:00,2020-01-28T06:01:25.193-05:00,-27
1580209261,,,2020-01-28T06:01:02.104-05:00,306550,MC DONALD AV/CHURCH AV,2020-01-28T06:00:58-05:00,2020-01-28T06:02:21.629-05:00,-83
