timestamp,progressStatus,recordedAtTime,directionRef,journeyPatternRef,bearing,progressRate,vehicleRef,longitude,latitude
1580209681,,2020-01-28T06:08:16-05:00,1,MTA_B670134,236.62125,normalProgress,MTA NYCT_762,-73.974997,40.675142
1580209681,,2020-01-28T06:08:13-05:00,1,MTA_B670134,179.02068,normalProgress,MTA NYCT_369,-73.981264,40.699701
1580209681,,2020-01-28T06:08:12-05:00,0,MTA_B670127,148.67131,normalProgress,MTA NYCT_365,-73.982242,40.655508
1580209741,layover,2020-01-28T06:08:58-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580209741,,2020-01-28T06:09:14-05:00,1,MTA_B670134,86.07212,normalProgress,MTA NYCT_369,-73.982917,40.700081
1580209741,layover,2020-01-28T06:08:55-05:00,1,MTA_B670134,280.4507,noProgress,MTA NYCT_375,-73.978955,40.638738
1580209741,,2020-01-28T06:08:55-05:00,0,MTA_B670127,126.025215,normalProgress,MTA NYCT_466,-73.977419,40.684001
1580209741,,2020-01-28T06:08:46-05:00,1,MTA_B670134,232.57945,normalProgress,MTA NYCT_762,-73.976213,40.673416
1580209741,,2020-01-28T06:09:13-05:00,0,MTA_B670127,148.84697,normalProgress,MTA NYCT_365,-73.986691,40.658176
1580209801,layover,2020-01-28T06:09:59-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580209801,,2020-01-28T06:09:55-05:00,0,MTA_B670127,126.025215,normalProgress,MTA NYCT_466,-73.977802,40.684529
1580209801,,2020-01-28T06:10:14-05:00,0,MTA_B670127,43.555874,normalProgress,MTA NYCT_365,-73.987896,40.659748
1580209801,layover,2020-01-28T06:09:56-05:00,1,MTA_B670134,280.4507,noProgress,MTA NYCT_375,-73.978955,40.638738
1580209801,,2020-01-28T06:10:15-05:00,1,MTA_B670134,177.9854,normalProgress,MTA NYCT_369,-73.985052,40.701452
1580209801,,2020-01-28T06:08:46-05:00,1,MTA_B670134,232.57945,normalProgress,MTA NYCT_762,-73.976213,40.673416
1580209861,layover,2020-01-28T06:11:00-05:00,0,MTA_B670127,10.333877,noProgress,MTA NYCT_417,-73.9676,40.706937
1580209861,,2020-01-28T06:10:57-05:00,0,MTA_B670127,159.38513,normalProgress,MTA NYCT_466,-73.980927,40.687764
1580209861,layover,2020-01-28T06:10:56-05:00,1,MTA_B670134,280.4507,noProgress,MTA NYCT_375,-73.978955,40.638738
1580209861,,2020-01-28T06:11:16-05:00,1,MTA_B670134,266.56638,normalProgress,MTA NYCT_369,-73.987734,40.700925
