project_id,project_description,managing_agency_id,managing_agency,ten_year_plan_category,community_boards_served,borough,budget_lines,original_budget,city_prior_actuals,city2021,city2022,city2023,city2024,city2025,city_r_t_c,city_total,non_city_prior_actuals,non_city2021,non_city2022,non_city2023,non_city2024,non_city2025,non_city_r_t_c,non_city_total,combined_prior_actuals,combined2021,combined2022,combined2023,combined2024,combined2025,combined_r_t_c,combined_total,explanation_for_delay,project_location,scope_summary,source_pdf,latitude,longitude
LBP18PCAD,PACIFIC ADA COMPLIANCE,38,BROOKLYN PUBLIC LIBRARY,ESSENTIAL RECONSTRUCTION OF FACILITIES,306,BROOKLYN,LB-0101 LB-D104,3500,0,0,0,0,3725,0,0,3725,0,0,0,0,3725,0,0,3725,0,0,0,0,7450,0,0,7450,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,PACIFIC ADA COMPLIANCE,cpd11-20bk.pdf,40.68345208,-73.97859512
HH112PREK,RENOVATION AND IMPROVEMENTS TO THE PARK SLOPE ARMORY,71,DEPT OF HOMELESS SERVICES,SHELTERS FOR HOMELESS INDIVIDUALS,306,BROOKLYN,HH-D025,1500,0,0,1500,0,0,0,0,1500,0,0,1500,0,0,0,0,1500,0,0,3000,0,0,0,0,3000,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,PARK SLOPE ARMORY-REHABILITATION OF ROOMS FOR PRE-K PROGRAM,cpd11-20bk.pdf,40.66309539,-73.9833484
HH112PSR1,PARK SLOPE - ROOF REPLACEMENT,71,DEPT OF HOMELESS SERVICES,SHELTERS FOR HOMELESS INDIVIDUALS,306,BROOKLYN,HH-0112,5250,3719,450,0,0,0,0,0,4169,3719,450,0,0,0,0,0,4169,7438,900,0,0,0,0,0,8338,NA,NA,PARK SLOPE - ROOF REPLACEMENT,cpd11-20bk.pdf,40.66309539,-73.9833484
BKCRUISE,Brooklyn Cruise Terminal Substructre Rehab,801,DEPT OF SMALL BUSINESS SERVICES,PORT DEVELOPMENT,306,BROOKLYN,ED-K409 ED-0409,5000,0,0,0,0,0,2700,836,3536,0,0,0,0,0,2700,836,3536,0,0,0,0,0,5400,1672,7072,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,BROOKLYN CRUISE TERMINAL SUBSTRUCTRE REHAB,cpd11-20bk.pdf,40.68224789,-74.01469175
PROSPPLC,Prospect Park Lakeside Center,801,DEPT OF SMALL BUSINESS SERVICES,"LARGE, MAJOR AND REGIONAL PARK RECONSTRUCTION",306 307 308 309 314 300,BROOKLYN,P-0245K P-D017,31313,48087,0,0,0,48,0,0,48135,48087,0,0,0,48,0,0,48135,96174,0,0,0,96,0,0,96270,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,PROSPECT PARK LAKESIDE CENTER - ICE RINK AND LANDSCAPING,cpd11-20bk.pdf,40.65729146,-73.96434349
REDHOOK,Red Hook Library,801,DEPT OF SMALL BUSINESS SERVICES,MISCELLANEOUS,306 300,BROOKLYN,LB-D104 LB-0104,2835,1077,0,14471,0,0,0,0,15548,1077,0,14471,0,0,0,0,15548,2154,0,28942,0,0,0,0,31096,NA,NA,RED HOOK LIBRARY,cpd11-20bk.pdf,40.67545699,-74.01034076
SANDBCT,EDC - Hurricane Sandy - BCT Repairs,801,DEPT OF SMALL BUSINESS SERVICES,MISCELLANEOUS,306 307,BROOKLYN,ED-0404,3000,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,600,0,0,0,600,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,REPAIRS AT THE BCT PROJECT AS A RESULT OF HURRICANE SANDY,cpd11-20bk.pdf,40.67747385,-73.98536646
HAM10WYCR,WYCKOFF GARDENS COMMUNITY ROOM,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,450,0,641,0,0,0,0,0,641,0,641,0,0,0,0,0,641,0,1282,0,0,0,0,0,1282,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,WYCKOFF GARDENS COMMUNITY ROOM,cpd11-20bk.pdf,40.68298158,-73.98351192
HAM12WYCC,WYCKOFF GARDENS COMMUNITY CENTER UPGRADE,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,150,0,810,0,0,0,0,0,810,0,810,0,0,0,0,0,810,0,1620,0,0,0,0,0,1620,PROJECT DELAYED DUE TO BUDGETARY CONSTRAINTS,NA,"UPGRADES TO INCLUDE CLASSROOMS, OPEN SHOP AREA AND OFFICES",cpd11-20bk.pdf,40.68298158,-73.98351192
HAM15GOGR,GOWANUS HOUSES BASKETBALL COURT AND PLAY AREA,806,HOUSING PRESERVATION AND DEVEL,LOW TO MODERATE INCOME PUBLIC HOUSING UPGRADE,306,BROOKLYN,HA-D001,150,0,150,0,0,0,0,0,150,0,150,0,0,0,0,0,150,0,300,0,0,0,0,0,300,PROJECT DELAYED DUE TO CHANGES IN SCOPE/DESIGN,NA,BASKETBALL COURT AND PLAY AREA,cpd11-20bk.pdf,40.68351646,-73.9892241
