date,total_trips
2020-01-01,18114
2020-01-02,41556
2020-01-03,31873
2020-01-04,29436
2020-01-05,27589
2020-01-06,42738
2020-01-07,46535
2020-01-08,42400
2020-01-09,39344
2020-01-10,50800
2020-01-11,56538
2020-01-12,53121
2020-01-13,49438
2020-01-14,44144
2020-01-15,54251
2020-01-16,45247
2020-01-17,34122
2020-01-18,13301
2020-01-19,25935
2020-01-20,24230
2020-01-21,37399
2020-01-22,43415
2020-01-23,48258
2020-01-24,51334
2020-01-25,17734
2020-01-26,36121
2020-01-27,46534
2020-01-28,48816
2020-01-29,47386
2020-01-30,45603
2020-01-31,47284
2020-02-01,35542
2020-02-02,28593
2020-02-03,53522
2020-02-04,52478
2020-02-05,50544
2020-02-06,32156
2020-02-07,32643
2020-02-08,32783
2020-02-09,32635
2020-02-10,26732
2020-02-11,37789
2020-02-12,49336
2020-02-13,37413
2020-02-14,36921
2020-02-15,21598
2020-02-16,27276
2020-02-17,40946
2020-02-18,44104
2020-02-19,49313
2020-02-20,42686
2020-02-21,38686
2020-02-22,39443
2020-02-23,46544
2020-02-24,56349
2020-02-25,39568
2020-02-26,45207
2020-02-27,43411
2020-02-28,43360
2020-02-29,29252
2020-03-01,31878
2020-03-02,56946
2020-03-03,49723
2020-03-04,58670
2020-03-05,58686
2020-03-06,34135
2020-03-07,39448
2020-03-08,46994
2020-03-09,68768
2020-03-10,64277
2020-03-11,61816
2020-03-12,51332
2020-03-13,43343
2020-03-14,44239
2020-03-15,36140
2020-03-16,29481
2020-03-17,24331
2020-03-18,30496
2020-03-19,20842
2020-03-20,31327
2020-03-21,31712
2020-03-22,19891
2020-03-23,3999
2020-03-24,20863
2020-03-25,12066
2020-03-26,21996
2020-03-27,26504
2020-03-28,8871
2020-03-29,9646
2020-03-30,15041
2020-03-31,14996
2020-04-01,20363
2020-04-02,19012
2020-04-03,11309
2020-04-04,28867
2020-04-05,25755
2020-04-06,24660
2020-04-07,23646
2020-04-08,20744
2020-04-09,14192
2020-04-10,16276
2020-04-11,33142
2020-04-12,31564
2020-04-13,7797
2020-04-14,25283
2020-04-15,22188
2020-04-16,19570
2020-04-17,18893
2020-04-18,15909
2020-04-19,47049
2020-04-20,21882
2020-04-21,17050
2020-04-22,23783
2020-04-23,19125
2020-04-24,12610
2020-04-25,58898
2020-04-26,9586
2020-04-27,17795
2020-04-28,39619
2020-04-29,21653
2020-04-30,14542
2020-05-01,24945
2020-05-02,72808
2020-05-03,63731
2020-05-04,32356
2020-05-05,35078
2020-05-06,17274
2020-05-07,43677
2020-05-08,17326
2020-05-09,27747
2020-05-10,54504
2020-05-11,22729
2020-05-12,35998
2020-05-13,40592
2020-05-14,41586
2020-05-15,52903
2020-05-16,80292
2020-05-17,63553
2020-05-18,39154
2020-05-19,40934
2020-05-20,45558
2020-05-21,48560
2020-05-22,47441
2020-05-23,23012
2020-05-24,72889
2020-05-25,67876
2020-05-26,53062
2020-05-27,55071
2020-05-28,46091
2020-05-29,53356
2020-05-30,87081
2020-05-31,80706
2020-06-01,52926
2020-06-02,46471
2020-06-03,28766
2020-06-04,39659
2020-06-05,33064
2020-06-06,56263
2020-06-07,80441
2020-06-08,60847
2020-06-09,61666
2020-06-10,63108
2020-06-11,43845
2020-06-12,72497
2020-06-13,89690
2020-06-14,79731
2020-06-15,57555
2020-06-16,65295
2020-06-17,63989
2020-06-18,62094
2020-06-19,79280
2020-06-20,80792
2020-06-21,72206
2020-06-22,59788
2020-06-23,67299
2020-06-24,66784
2020-06-25,69578
2020-06-26,73638
2020-06-27,59221
2020-06-28,69104
2020-06-29,61574
2020-06-30,65102
2020-07-01,63406
2020-07-02,73394
2020-07-03,59329
2020-07-04,70988
2020-07-05,64523
2020-07-06,45976
2020-07-07,67810
2020-07-08,63321
2020-07-09,76374
2020-07-10,22777
2020-07-11,66573
2020-07-12,84290
2020-07-13,69017
2020-07-14,76968
2020-07-15,78340
2020-07-16,79248
2020-07-17,69834
2020-07-18,80408
2020-07-19,66789
2020-07-20,58285
2020-07-21,70557
2020-07-22,51988
2020-07-23,65592
2020-07-24,66790
2020-07-25,87636
2020-07-26,72734
2020-07-27,62474
2020-07-28,70368
2020-07-29,77064
2020-07-30,72109
2020-07-31,70846
2020-08-01,89044
2020-08-02,70067
2020-08-03,67219
2020-08-04,44588
2020-08-05,81812
2020-08-06,79130
2020-08-07,59956
2020-08-08,90237
2020-08-09,82767
2020-08-10,68992
2020-08-11,75292
2020-08-12,66069
2020-08-13,62427
2020-08-14,83758
2020-08-15,92784
2020-08-16,38651
2020-08-17,70358
2020-08-18,81799
2020-08-19,71467
2020-08-20,81247
2020-08-21,84814
2020-08-22,87086
2020-08-23,81801
2020-08-24,71136
2020-08-25,72067
2020-08-26,88080
2020-08-27,69313
2020-08-28,78167
2020-08-29,71287
2020-08-30,92434
2020-08-31,75665
2020-09-01,76674
2020-09-02,69998
2020-09-03,71317
2020-09-04,85339
2020-09-05,89572
2020-09-06,83006
2020-09-07,83897
2020-09-08,79236
2020-09-09,84416
2020-09-10,52907
2020-09-11,94644
2020-09-12,101462
2020-09-13,84682
2020-09-14,79263
2020-09-15,84118
2020-09-16,86977
2020-09-17,87490
2020-09-18,89018
2020-09-19,89985
2020-09-20,77666
2020-09-21,72111
2020-09-22,82861
2020-09-23,90600
2020-09-24,86938
2020-09-25,93712
2020-09-26,99262
2020-09-27,87411
2020-09-28,78056
2020-09-29,59816
2020-09-30,85791
2020-10-01,89718
2020-10-02,81001
2020-10-03,95562
2020-10-04,80662
2020-10-05,75795
2020-10-06,85634
2020-10-07,81263
2020-10-08,83990
2020-10-09,87644
2020-10-10,93919
2020-10-11,75426
2020-10-12,16405
2020-10-13,51885
2020-10-14,88404
2020-10-15,91295
2020-10-16,30689
2020-10-17,88338
2020-10-18,76910
2020-10-19,73336
2020-10-20,76195
2020-10-21,84145
2020-10-22,83848
2020-10-23,86939
2020-10-24,90596
2020-10-25,61869
2020-10-26,51135
2020-10-27,78030
2020-10-28,62847
2020-10-29,19072
2020-10-30,39546
2020-10-31,66771
